TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W)
6.36279E+13,23.2,0.2,8,0,15
6.36279E+13,24.2,1.2,8,0,15
6.36279E+13,24.7,1.7,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.5,14.5,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,36.9,13.9,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,38,15,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,38.1,15.1,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.5,14.5,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.4,14.4,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.5,14.5,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.4,14.4,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,38.2,15.2,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,38.2,15.2,8,0,15
6.36279E+13,42.3,19.3,8,0,15
6.36279E+13,41.4,18.3,8,0.1,15
6.36279E+13,39.3,16.2,8,0,15
6.36279E+13,39,16,8,0,15
6.36279E+13,39.6,16.6,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37.7,14.7,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.5,14.5,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37.4,14.4,8,0,15
6.36279E+13,37.4,14.4,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.2,14.2,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.3,14.3,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37.1,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37,14,8,0,15
6.36279E+13,37.1,14.1,8,0,15
6.36279E+13,36.2,13.2,8,0,15
6.36279E+13,28.5,5.4,8,0.1,15
6.36279E+13,27.5,4.5,8,0,15
6.36279E+13,27.7,4.7,8,0,15
6.36279E+13,26.6,3.6,8,0,15
6.36279E+13,23.1,0.1,8,0,15
6.36279E+13,23.2,0.2,8,0,15
6.36279E+13,23.2,0.2,8,0,15
6.36279E+13,23.1,0.1,8,0,15
